3rCWr,1
snInN,0
ibfT7,0
IcbKR,1
SIXmF,1
dLCdh,1
ziFJ8,0
1WtTD,0
9uIKh,1
df4Mc,0
3nxpY,0
aesmq,1
MyTDz,1
TDMhx,1
Y0rW3,1
KCcKf,1
2cz5M,0
kqIJj,0
C1Sg2,1
VAmIt,0
ku9j1,1
TjHRV,1
sq8Xj,0
uKzm4,1
3at4H,1
8nXGS,1
4x8ij,1
PeMnA,0
UUPpU,0
HQ4lZ,1
lEv01,1
XCY52,0
FNoY7,1
JJbco,0
PHQ7z,1
Xejsj,1
A4IsT,0
7cU9R,0
8mSRL,0
jRMuo,0
dljxu,1
wZyoj,0
us2ca,1
EVenw,0
QLseT,1
lanI5,1
RF9di,1
3e6Aa,0
W5mvO,0
LkKbu,0
gbus8,0
LN4W4,0
9FNA4,0
rd3qM,1
pV8eI,0
5wnO7,0
03KFY,0
i25BS,1
AziH8,0
YyCpz,0
qLfPb,1
CJBeL,0
EaAPx,0
sQDFf,0
CELfn,0
Ac6Hy,0
ULryN,0
qCBAx,0
Hoz2c,0
8kLbb,1
KAWwb,1
lNMTe,1
MzTHU,0
Sq8XV,0
s8ZUG,0
lDcDx,1
xZoGD,1
vHLAR,1
Ag2kt,1
baqkE,1
Hsbs2,0
BlvEz,0
CJqsS,0
vbzII,1
R16fw,0
IxBjS,1
yJl2b,0
RXdcX,1
T7uzV,1
ccZGw,1
f9xFZ,0
dO9iE,0
2TaN2,1
a1XoY,0
1xXiG,0
a8kZK,0
mXe41,1
8NfbF,1
Sqdti,1
gnCsH,0
YGNBE,1
zOA3j,1
b3Cm5,1
Wjo2X,1
IcuwU,1
FyieE,1
5OUK8,1
SjCvq,0
kKVUa,1
CEVSg,1
F2MAp,0
hOKPP,1
X22r3,1
kDxwQ,1
s42QM,0
Olrdu,0
P6Fag,0
IHvly,1
5bWYy,0
5zeok,1
6Z4hF,0
1RjNM,1
yc6uV,1
JC92f,1
pw6Bl,1
KYPQw,0
ZPFtI,1
ZBvXR,0
wofSH,0
Q4Ika,1
Y7U06,1
orSui,1
BZ0Op,0
0T3oe,0
A9NM2,1
nHCpf,0
tieFX,1
i28eq,1
XftK1,0
DjFAx,1
WDvPc,1
UEEYY,1
GKXw3,1
N5qAi,1
1DGAU,0
XlcdP,0
CVfA1,0
b39YD,0
d1NlJ,1
ue6lj,0
hx3rt,0
wc0Vt,0
8iD9Q,0
PNt7q,0
Y97G2,1
svZ34,1
sxgEq,1
ZDIWx,0
rD2Az,0
pRsn8,1
MiByI,1
vM7l5,1
kbQbh,0
DhzQW,0
W3cWn,0
ItQ1c,0
4RG18,1
9bZNj,1
IHJ5G,0
bsFcm,0
LWfTR,0
ZqXuD,0
b3miO,0
ruJ8j,1
kpmxZ,0
zmAo1,0
Xaref,1
BhtUL,0
FJefe,1
EGsdK,1
JMmSL,1
SxZPl,0
A9yVd,0
YRv3l,1
Np4je,0
FC1TZ,1
v4CRw,1
DjT9c,1
TEVGW,1
DAO68,1
7aT15,1
quDTm,1
kUG9i,0
FH95r,1
dYH4a,1
1FDKf,1
lVhAa,0
pL58M,0
UXRFO,1
oNz1I,1
oomHm,0
BHZT7,1
Ky1yG,1
Esu6G,0
rucD8,0
NntCQ,0
MiAWn,0
a7X2g,1
fH4fZ,1
ew4Ra,0
py7OD,0
fsgxM,1
bXpcf,0
9wBEn,0
tgchk,1
YHFHF,0
VuXx7,0
rEnhQ,0
APrIe,1
SxoIg,1
qdQFT,1
v8u87,1
BTWxu,1
JxQvo,0
3SvJ7,0
Gy42c,0
lWPIk,0
r1TCV,0
LhKtL,0
hfawL,0
KJDMV,0
BN93Q,1
4eMVe,0
rqtFq,0
rUI3j,1
CERA7,0
S9Azu,0
z6LjY,1
e0tCJ,1
n9CNr,0
lEJzf,1
gDUHm,1
lWFHR,1
MATqj,1
6Xt0t,1
iIwLp,1
9Zm1e,0
OHFov,1
uan5I,0
